img1_index,img2_index,img1_name,img2_name,inliers,overlap
0,1,frame000000.png,frame000001.png,706,0.4155385520894644
0,2,frame000000.png,frame000002.png,616,0.3625662154208358
0,3,frame000000.png,frame000003.png,488,0.28892835997631733
0,4,frame000000.png,frame000004.png,376,0.2213066509711595
0,5,frame000000.png,frame000005.png,316,0.18599175985874045
0,6,frame000000.png,frame000006.png,284,0.16715715126545028
0,7,frame000000.png,frame000007.png,223,0.1312536786344909
0,8,frame000000.png,frame000008.png,189,0.11124190700412007
0,9,frame000000.png,frame000009.png,140,0.0824014125956445
0,10,frame000000.png,frame000010.png,117,0.08170391061452514
0,11,frame000000.png,frame000011.png,98,0.07179487179487179
0,18,frame000000.png,frame000018.png,96,0.05650382577987051
0,20,frame000000.png,frame000020.png,86,0.050618010594467334
1,2,frame000001.png,frame000002.png,669,0.3803297328027288
1,3,frame000001.png,frame000003.png,531,0.31438721136767317
1,4,frame000001.png,frame000004.png,441,0.25071063104036384
1,5,frame000001.png,frame000005.png,388,0.2205798749289369
1,6,frame000001.png,frame000006.png,281,0.15974985787379192
1,7,frame000001.png,frame000007.png,222,0.12620807276861853
1,8,frame000001.png,frame000008.png,171,0.09721432632177374
1,9,frame000001.png,frame000009.png,135,0.07674815235929505
1,10,frame000001.png,frame000010.png,112,0.0782122905027933
1,11,frame000001.png,frame000011.png,84,0.06153846153846154
1,18,frame000001.png,frame000018.png,82,0.046617396247868106
1,19,frame000001.png,frame000019.png,89,0.05263157894736842
1,20,frame000001.png,frame000020.png,81,0.04682080924855491
2,3,frame000002.png,frame000003.png,603,0.35701598579040855
2,4,frame000002.png,frame000004.png,514,0.289251547552054
2,5,frame000002.png,frame000005.png,374,0.20572057205720573
2,6,frame000002.png,frame000006.png,320,0.18028169014084508
2,7,frame000002.png,frame000007.png,244,0.13458356315499173
2,8,frame000002.png,frame000008.png,196,0.11098527746319366
2,9,frame000002.png,frame000009.png,140,0.07700770077007701
2,10,frame000002.png,frame000010.png,121,0.08449720670391062
2,11,frame000002.png,frame000011.png,102,0.07472527472527472
2,17,frame000002.png,frame000017.png,84,0.046357615894039736
2,18,frame000002.png,frame000018.png,106,0.06012478729438457
2,20,frame000002.png,frame000020.png,88,0.05086705202312139
2,21,frame000002.png,frame000021.png,87,0.04918032786885246
3,4,frame000003.png,frame000004.png,635,0.3759621077560687
3,5,frame000003.png,frame000005.png,421,0.2492599171107164
3,6,frame000003.png,frame000006.png,364,0.21551213735938426
3,7,frame000003.png,frame000007.png,275,0.16281823564239195
3,8,frame000003.png,frame000008.png,206,0.12196566015393724
3,9,frame000003.png,frame000009.png,158,0.09354647720544701
3,10,frame000003.png,frame000010.png,132,0.09217877094972067
3,11,frame000003.png,frame000011.png,104,0.0761904761904762
3,17,frame000003.png,frame000017.png,85,0.05032563647128478
3,18,frame000003.png,frame000018.png,106,0.06275902901124926
3,19,frame000003.png,frame000019.png,82,0.04854943753700414
3,20,frame000003.png,frame000020.png,96,0.056838365896980464
4,5,frame000004.png,frame000005.png,607,0.3415869442881261
4,6,frame000004.png,frame000006.png,426,0.24
4,7,frame000004.png,frame000007.png,360,0.20258863252673046
4,8,frame000004.png,frame000008.png,239,0.13533408833522084
